avganncount,incidencerate,medincome,popest2015,povertypercent,studypercap,medianage,percentmarried,pctpubliccoveragealone,pctmarriedhouseholds,birthrate
56,528.4,36466,6966,17.1,0,47.7,60.5,17.9,56.87707641,3.868613139
61,468.3,41019,8975,15.8,0,46.2,53.5,19.8,52.40597345,1.988950276
142,453.7,38387,24758,19.7,0,41.8,51.5,23.3,53.55768173,5.300938708
236,433.2,37242,40971,20,24.40750775,42.5,48.9,27.1,47.52860823,4.112005292
65,511.9,29331,8755,26.1,114.2204455,46.3,54.1,35.4,48.72652431,4.203539823
120,514.6,40013,15816,18.5,0,46,51.4,21.3,51.70881226,6.161137441
35,455.3,38600,5880,20.3,0,45,52.2,23.5,51.76954733,5.968928863
554,488.8,41932,86452,17.2,173.5066858,42.5,51.1,22.7,47.88351017,6.23870268
134,447.8,34419,22151,22.8,0,42.8,55.7,28.7,54.03848244,6.018614271
164,467.9,42063,20148,17.8,0,51.4,50.9,22.6,54.12278449,3.861129137
90,451.5,41294,15843,14.9,0,42.2,45.9,23.9,42.79547484,6.460336538
254,412.1,46375,45563,13.7,1097.381647,43.9,55.8,19,52.64644351,5.884312202
88,369.9,44395,14977,13.6,0,50.8,58.5,21,52.79664691,5.547054323
1214,479.1,54141,258718,12,1213.676667,36.8,51.4,17.2,49.80425278,5.921762149
71,385.7,50998,13192,10.5,151.6070346,45,59,16,54.08074857,7.17472119
103,399.2,41810,15159,16.5,0,50.9,59,23.7,51.08041575,4.96054115
238,474.1,68430,49762,5.9,0,39,62,10.6,62.98229565,4.330985915
356,482.4,52485,63531,10.7,487.9507642,40.6,55.6,15.7,55.24062236,5.497771174
184,455.2,45316,34445,16,0,37.1,58.2,17.6,57.41970774,9.86429301
323,476.1,59020,56743,8.8,0,42,54.9,12.9,54.30466505,4.654466449
109,466.4,43562,16391,14.7,122.0181807,45.9,52.3,20.3,51.27585686,5.300353357
2015,430.7,61937,523643,13.4,129.8594653,34.6,47.5,10.2,45.26843317,4.458527742
463,437.3,54359,88502,9.9,0,42,51.1,13.9,53.53820299,4.49736915
208,449.3,49717,27554,11,1778.326196,51.7,62.6,15.5,56.50832819,4.481380181
187,354.7,46475,43601,13.9,0,40.6,47.6,20.6,44.24412034,6.150455775
177,396.1,52224,44497,13.9,0,34.1,47.6,16.8,51.38981814,5.116736739
454,440.9,48102,102105,14.4,675.7749376,33.8,46.4,14.6,46.89544532,4.346348463
23,308.2,44562,4464,12.8,0,51.1,59.9,17.6,57.93067227,3.462050599
579,477,52149,101973,9.9,235.3564179,41,54.8,14.4,53.51968638,4.541733098
68,490.6,41418,9057,17,4306.06161,45.3,52.8,20.4,51.39107612,7.250418293
257,428.2,46972,52250,15,0,36.1,48.6,13.9,51.66349565,5.174434328
187,420,53328,37186,8.7,0,42.2,56.7,13.8,55.2736352,5.46031746
89,447.2,61802,17110,8.2,0,458.4,58.1,9,60.49149338,9.675645959
29,356.1,40351,5220,16,191.5708812,46.1,56.5,17.8,52.45683931,5.360824742
20,400.6,43883,3091,12.1,0,49.5,61,14.8,53.95787945,7.992565056
16,221.5,55955,5937,9.2,0,38.8,62.7,12.4,61.73052088,5.678233438
40,432.5,49517,5163,10.7,0,48.9,67,16.8,59.54720205,6.35451505
30,453.6,41344,7064,34,0,28.6,40.9,28.4,41.69865643,8.467741935
24,350.1,44726,4154,12.3,0,46,64.2,16.9,56.87928308,5.01285347
104,431.4,69191,20248,7.4,0,41.2,63.5,8.3,62.95743092,5.725611099
39,392,53290,9367,13.6,0,30.1,53.9,9.1,58.74285714,5.981533521
31,495.5,40979,3625,12.7,0,47.5,57.2,17.7,54.25257732,3.524229075
72,389.2,51335,13806,10.6,0,41.3,56.5,11.6,55.1213419,6.993486459
411,508.6,59831,60641,10,329.8098646,46.1,54.2,16.8,53.36016587,4.824422651
360,481.8,57556,47285,10.7,0,50.3,59.4,13.4,54.68263699,7.381867511
452,489.4,56008,75909,11.8,13.17366847,42,48.4,12.7,48.86415562,4.687933426
223,459.2,42491,31212,14.9,32.03895937,48.1,51.5,22.5,48.23214537,5.975049245
487,435.5,56353,89320,11.6,78.36990596,41.9,48.5,14,49.5875553,6.078496198
2075,482.2,71233,406678,8.7,105.7347582,40.1,51.4,12.7,51.98701098,5.055576216
879,507.6,62429,147994,9.5,378.3937187,42.6,51.5,13.1,53.12759016,3.901815696
1758,518.8,79653,301777,6.1,72.90151337,43.5,56.8,9,57.13535713,4.370734571
643,502.6,58577,126825,11.8,94.61856889,37.2,46.8,12.4,49.94167427,3.681800261
273,475.7,57142,42967,10.4,0,45.1,50.9,15.6,49.85074627,3.657874742
1624,505.5,54208,274219,15.1,43.76064386,40.6,45.1,17.7,44.80543715,4.69661296
5164,468.1,84309,938506,7.6,330.3122196,41.5,54.2,11.8,56.4163314,4.077070131
2768,531.8,80479,450226,7.2,446.4424533,41,50.8,10.6,53.74561974,4.910516481
2963,530.9,61685,510923,13,972.7493184,38.3,44.7,18.6,45.97396038,5.434939238
847,559.1,55409,94727,13,179.4630887,48.3,53.4,16.8,51.14075027,5.43325019
847,511.3,45438,155854,19.5,128.3252275,36.9,39.6,24,43.66264295,5.846434788
3553,450.6,54603,797434,16.7,137.9424504,36.9,39.1,21.1,39.00426129,5.084469955
1691,544.2,78983,291479,8.2,106.3541456,39.6,51.7,12.8,55.37173438,4.878014043
2353,399.5,57720,674836,17.7,1.481841514,34.7,41.5,21.3,38.47522277,5.344239425
731,496.3,103876,125488,4.7,47.81333673,45,57.7,7.1,62.07381821,4.22223833
1997,504.7,73750,371398,11.8,96.93105509,38.4,47.2,14.5,49.8130927,4.725836381
3980,466.7,77330,840900,8.3,89.19015341,37.7,51.6,12.1,55.65982883,5.074989438
3887,529.6,87220,628715,8.2,146.3302132,42.3,53.2,10.7,55.28066751,4.571872443
2795,488.5,100511,499509,5,122.1199218,42,56.7,7.5,59.86962292,3.635690867
4355,524.9,62937,588721,11.9,62.84810632,42.8,53.6,19,53.40548509,6.13243835
2305,448.4,58030,510916,18.2,60.67533606,36.5,44.3,25,48.72735839,4.533343875
415,516.6,56645,64180,13.1,62.32471175,41.8,48.7,18.7,49.59953998,5.98109071
1673,471,100194,333654,5,329.6828451,40.8,56.6,8.6,60.66311488,4.842990108
822,493.1,82048,143673,6.2,132.2447502,43.4,55.9,9.8,59.78569177,4.625184917
2663,463,68172,555786,11.1,25.18955137,38.1,46.5,17.1,49.27138445,5.746896424
623,485.9,71294,106869,8.3,28.0717514,42.6,54.5,12.4,54.94516044,4.839230894
2820,404.1,47192,676685,18.7,294.0807022,36.5,43.7,24.1,41.35260379,5.264795797
28,375.5,33256,3456,22.2,0,57.1,49.4,13.1,53.13626532,0.689655172
272,375.8,38403,65764,23.4,0,34.8,48.1,29.4,48.11288532,8.496374333
109,375.5,35081,27329,28.8,0,36.2,38.1,35.7,39.63436072,6.744769874
76,377.4,37156,12414,20.5,0,47.6,48.3,26.1,44.21204472,5.741042345
153,336.5,42620,50398,19.2,0,30.7,48.7,24.1,48.77216166,7.197033541
14,467.1,33789,1828,20.6,0,47.3,27.6,30.4,41.92307692,0
799,381,38974,214295,27.9,111.9951469,32.4,46.2,29.9,48.15681763,5.880465757
239,391.3,57007,57578,14.1,0,36.5,50.3,21.3,49.8110282,9.558702453
166,366.5,38221,28609,19.1,454.4024608,46.5,45.8,30.3,43.28457447,5.998550199
21,361.2,29147,4371,25.8,0,41.6,33.7,20.2,41.44295302,3.558718861
22,357,34304,4423,24.5,678.2726656,41.8,46.1,35,44.58424508,5.485232068
214,357.1,58994,71180,16.6,0,31.8,53.3,22.1,55.62963308,7.530333184
117,363.9,39995,19420,20.1,1287.332647,50.4,52.2,27.8,47.57636514,8.532518066
94,406.2,108477,17785,4.2,0,43.5,65.5,4.2,59.63230466,5.543652919
144,420.6,27268,24518,30.6,0,39,47.1,37.9,44.70367094,8.62924023
205,332.9,29497,76708,35.8,0,30.8,33.5,37.6,39.14033281,7.322096363
25,359,27627,4596,24.2,0,42.6,41.2,46.6,43.34945586,1.084812623
286,393,41736,64362,20.2,15.53711818,35.6,49.1,27.5,48.6479635,8.221797323
56,412.7,29069,8455,23.9,0,45.7,45,25.9,42.24678817,4.063068526
164,351.8,34902,39465,24.1,0,40.1,41.9,26.6,41.29643117,3.902327704
68,360.7,36108,19120,24,0,29.4,45.1,25.2,45.45454545,4.392712551
564,395.4,56142,139394,12.6,0,469.2,49.7,21.1,51.87665603,5.497053425
435,356.1,47520,118737,21,202.1273908,34.2,46.6,24.4,48.79315011,6.09617959
125,355.6,32964,27967,25.5,0,42.5,33,30.2,31.9243604,5.744748568
691,374.3,52628,148686,14.2,60.53024495,44.4,47.6,19.7,43.68165547,4.017424976
100,424.2,29036,11282,23.8,0,55.6,47.9,27.8,44.70658208,8.198614319
84,404.4,32285,17256,31,0,36.8,28.5,29,36.04204568,2.688172043
154,339,36125,32907,19.2,0,46.8,42.4,29.3,41.50030248,4.706601467
108,558.5,37311,15485,27.6,64.57862448,43.3,49.1,36.8,50.52141527,2.98792117
18,303,36684,4201,19.4,0,40.3,44.5,28.1,47.01731879,3.536585366
334,402.3,40591,75737,24.5,330.0896524,38.5,49.2,29.7,51.14469717,6.407674997
1775,505.9,60371,309381,13.5,420.193871,37.9,40.8,14.2,40.08229986,3.774039071
282,490.7,42655,47462,18.3,0,38.3,47.6,20.2,49.29176921,4.844731809
5834,455.3,33687,1455444,31.5,241.1635212,33.2,31,38.2,27.30922949,5.67890152
1235,494.4,46283,196567,17.2,106.8338022,39.9,43.8,21.2,43.30106657,4.2987606
515,517.8,43892,77922,16.2,0,41.4,48.7,18.7,46.90374585,4.82052462
465,470.8,52792,78288,12.7,102.1867975,42.5,46.8,17.9,45.81880408,5.470136014
950,550.1,41757,130779,19.3,267.6270655,41.7,47,22.4,45.57763418,6.073151538
559,508.2,48880,87071,18.2,195.2429626,40.9,48.3,21.4,45.98629397,5.089635277
337,512.4,46387,48844,16.7,0,43.8,50.2,20.8,49.42212718,5.052412881
335,437.1,34842,51881,20.5,19.27487905,46,52,22.2,47.92326567,6.007452513
12,327,38636,2214,14.6,0,59,63.1,9.7,53.59477124,10.79136691
205,460.2,64350,36314,10.2,0,44.5,58.1,12.6,59.93899339,3.667228197
410,423,75926,73147,7.9,27.34220132,45.4,58.3,10.7,57.275,4.819607038
38,383.4,46331,7158,14.8,0,45.9,53.7,16.7,49.61990325,9.290030211
108,491.5,76206,25515,7.5,0,36.6,56.6,7.9,61.9525003,6.194544857
90,514.8,64305,16269,8.8,0,40.7,58.5,13.5,60.48707753,6.631716907
101,446.8,45827,10965,13.7,0,55.6,51.4,15.5,44.2680093,4.297328688
107,330.5,31429,24742,26.6,0,42.8,49.8,26.3,51.50873478,6.208251473
862,364.9,122641,375629,3.9,449.9120142,35.3,61.2,4.6,65.51325905,6.198748382
183,456.9,60121,34602,11.5,0,43.7,55.1,14.3,58.25863279,5.015546843
70,404.1,37548,12299,22.4,0,44.7,45.7,22.6,47.05491585,7.48049564
84,463.3,52513,13134,12.3,0,44.6,52.2,16.8,53.72776334,6.25698324
72,444.9,58268,8862,10.6,225.6826901,51.1,63.6,10.6,60.61481871,1.906898486
216,445.1,38500,31081,21.1,289.5659728,47.2,44.4,20.2,43.75901298,4.664723032
100,525.6,48921,10606,14.4,94.28625306,52.7,54.4,12.3,53.80009212,2.71468144
309,396.2,43484,97653,24.8,256.00852,27.5,39.1,8.7,43.44441603,3.135414054
120,526.7,48076,14785,13.4,0,48.4,50,15.2,44.34453384,5.74048913
94,454.3,72406,20392,6.2,0,43.1,60.6,8.7,63.5566516,2.628490965
103,527.2,36822,12155,21.5,0,48.3,46.4,20.6,41.0632622,6.455750321
107,450.4,51422,12232,14.3,0,55.1,61,13.5,54.34226241,7.278020378
106,508,37996,15673,24.3,0,41.5,42.7,24.5,44.24762927,7.331771008
225,503.5,59282,35385,10.7,0,42.6,54.7,15.7,56.73692428,2.100668394
137,430.1,44851,23726,16.9,0,44.1,53.1,18.1,53.00896287,5.963302752
97,339.1,34885,18045,21.9,0,48,53.5,22.3,51.42490372,2.944539737
346,399,44207,62194,14.6,0,546,53.5,18.6,51.5913601,4.194566305
145,459.6,75539,28031,7.1,0,43.7,57.5,7.2,65.72456321,5.615292712
99,410.4,37543,22952,25.5,0,32.1,36.1,16,44.6214064,7.608005083
155,437,61792,37862,10.5,0,37.1,49.7,9,61.87173482,4.855936413
1142,373.7,91886,451721,7.2,19.92380252,34,55,8.6,60.21316724,6.857756326
189,390.6,46186,34332,14.7,0,45.2,53.5,16.7,50.35228128,6.174957118
44,401.1,62800,7378,9.3,0,49.1,63.9,13.1,58.75343721,5.182481752
57,452.4,42204,8908,19.7,0,43.7,46.6,17.9,50.22608696,8.755129959
493,400.5,61935,94409,8.2,21.18442098,43.5,55.7,12.8,53.38800964,5.404491669
115,338,48497,22354,13,0,48.3,55,15.6,53.65382552,6.476146578
378,400.2,55798,78593,11.7,0,41.5,57,13,58.19746835,4.834403227
137,365.4,37378,27891,17.9,0,43.8,54,23.5,52.3494794,3.255738239
110,330.8,36290,22126,20.8,0,45.4,57.6,20.7,55.30440345,2.248441674
235,407.6,45430,43190,12,0,43.8,55.6,15.9,53.77866168,7.406593407
171,389.1,37831,31470,19.7,0,44.3,51.7,24.3,49.67565455,6.188734455
97,405.7,46521,18109,15.3,0,45.4,48.3,16.7,52.5142173,5.455508475
518,449.4,75714,130475,9.2,176.2789806,36.7,56,9.4,61.33152745,6.051314143
460,450.5,92647,142003,5.9,0,34.7,57.4,7,66.38405714,4.970818505
40,426.5,48707,6709,12.9,0,47.5,53.2,17.1,53.5982009,4.897660819
72,486.9,37748,11715,23.9,0,38.5,32,23.7,41.31470308,3.682946357
224,376.4,38292,42899,19.2,23.31056668,43.1,53.9,23.6,52.52355316,6.033920417
178,428.2,60714,39083,11.3,0,40.4,51.2,11.7,52.57588415,5.544668588
312,420.8,43353,54591,14.5,36.63607554,44.7,53.9,17.7,52.00899749,5.091597145
121,450.9,48232,17629,15,0,46.6,47.6,16.8,47.27822581,3.666942377
176,367.3,38528,39718,21.9,0,39.8,47.5,22.9,49.41654648,3.651138835
171,433.5,41132,29119,15.6,137.3673546,43.6,53.7,18.4,52.06945966,2.933713923
272,389.3,81169,67837,5.5,0,39.5,61.5,6.2,64.84977289,4.925163106
405,317.6,86419,153511,9.6,58.62772049,36,44.1,8.6,36.21615156,6.214827502
64,265.7,34099,17141,21.8,408.3775742,41.8,46.2,24.4,40.54159109,3.86837478
46,578.2,38331,6618,17.2,0,33.8,48.1,21.2,45.92619657,11.88769415
250,718.9,45890,46597,25.9,364.8303539,29.8,30.1,11.9,30.49233889,2.753790712
995,458.3,66625,235429,9.8,46.72321592,36.5,52.5,12.4,54.73147035,5.746827092
117,493.6,52355,17820,11.5,0,40,47.4,12.5,42.69631298,3.664122137
320,539,33646,42082,23.6,356.4469369,41.8,38.7,25.5,33.34770192,3.236583838
55,447.7,125635,13892,3.2,0,37.7,55.3,2.7,53.27138986,3.066180935
51,468,38583,8490,22.5,0,38,34.9,22.3,30.84274544,4.927099045
120,566.3,51195,28118,16.8,1280.318657,29.4,33.7,13.6,34.21626984,4.269052202
709,491.9,47615,136454,15.2,168.5549709,35.4,41,16.4,39.69588213,4.72938218
190,591.1,38541,52538,28.3,57.10152651,23.5,28.7,10.4,34.66999817,2.564793362
139,547.6,40122,22378,19.5,0,36.9,35.3,21.9,30.50769584,5.969289827
391,495,40065,79812,25,388.41277,28.7,35.6,16.3,37.78393158,5.96087761
108,364.1,72510,41764,9.8,0,33.3,53.3,10.8,56.91305397,6.93416809
773,457.2,48440,182385,16.7,159.0043041,32.8,41.1,16.5,38.42890855,5.236698785
985,480.5,42567,246393,23.4,523.5538347,30,34.1,18.7,34.30754208,6.373340936
22,461,31620,3939,21.6,3046.458492,39.3,43.1,24.2,32.64161526,3.938223938
249,651.3,32749,32477,25.8,0,39.5,29.5,26.3,27.0092947,4.372408594
67,441.3,84213,12059,5.9,0,43.8,60.3,6.5,62.60232658,4.361370717
489,473.2,43045,96201,18.3,187.1082421,34.9,37.8,22,35.93873276,5.954956101
51,463.1,34267,17403,32.4,0,22.3,25.3,13.2,31.13018076,1.039129729
948,475.4,42074,220289,25,122.5662652,32.9,26.2,20.6,23.88562781,4.888983425
576,512.4,40735,99897,20.4,430.4433567,38,38.7,22,33.55903312,6.673085779
162,511.5,54195,25432,10.2,432.5259516,40.5,47.3,13.3,46.2518666,4.609250399
181,537.9,42552,24416,16.5,0,42.3,43.6,16.1,40.5218061,3.909798832
406,472,60735,88161,13.6,11.34288404,38.3,50.4,15.1,52.22007099,5.719705952
1825,435.6,67676,452745,8.6,88.34995417,35,50.1,9.2,50.40904224,5.841796248
157,596.9,44843,21491,14.6,0,38.5,47.9,20.1,40.80389769,7.446377985
135,1014.2,46954,15052,20.1,0,24.6,26.2,8.9,36.33759365,2.181467181
117,401.9,44537,27284,13.4,1026.242486,37,41.3,15,38.67835596,6.642835865
54,340.3,47423,19254,19,0,28.9,56.9,30.5,58.13512582,9.861143799
112,371.3,44055,22105,16.3,0,44.2,52.7,21.2,49.15961888,3.801794105
814,452.4,58750,190309,14.6,462.4058768,35.5,53.5,19.1,53.57704286,6.253360451
399,451.5,49174,75644,14,727.0900534,39.3,52.3,16.8,52.98314358,4.217134885
575,480.2,47185,73486,16.2,136.0803418,50.1,50.5,21,47.16324511,5.956137583
1859,427.4,61747,459495,9.9,272.0377806,37.4,52.7,17.3,53.29996737,5.742215991
30,476.2,45465,3944,15.5,0,49.5,52.4,26.2,51.06761566,5.205479452
571,455.5,44235,103468,20.6,202.961302,41.2,51.1,24,49.8428187,6.298743004
194,449.9,51151,40534,15.5,24.67064686,37,58.1,26,59.49197861,4.643274854
41,358.2,39992,7582,22.4,0,47.7,48.2,28.4,47.82468579,4.978354978
230,420.9,55006,88807,17.3,0,29.1,49.2,26.1,53.35894843,8.388253538
11,293.6,46404,2219,14.2,0,49.8,61.9,21.6,58.13221406,13.55498721
362,417.9,50388,93259,15.8,0,32.2,52.3,29.2,54.65445682,6.92564347
489,518.4,43205,71122,19.6,140.6034701,42.7,47.5,24.2,45.9899335,5.713875529
505,462,59358,80593,10.3,0,44,59.1,14.1,56.3290566,6.113924051
273,480.9,50964,30466,14.1,262.5878028,55.6,53.7,20.7,50.49173,5.305574211
8999,464.2,75738,2117125,11.3,620.6530082,37.2,49.5,12.7,46.8503058,5.202119227
187,414.6,38989,38033,19.9,0,39,45,20.2,48.96763592,5.803003309
211,464.3,34655,30553,24.5,0,46.4,51.6,25.8,48.18559034,3.935222672
286,345.3,60650,77390,10,0,39.7,54.7,11.3,56.7383997,4.540884719
88,416.1,41101,13801,16.5,0,49.3,55.1,21.6,52.92240511,3.797949107
204,393.1,43338,36377,14.8,384.8585645,46.4,54,18.8,50.08606949,3.887024609
136,358.9,45174,25788,14.4,1318.442687,46.4,54,17.4,50.68270187,6.088280061
523,413.5,57088,108801,9.8,9.191091994,41,52.1,13.6,50.74257426,5.808302127
211,489.1,50191,33161,11.6,422.1826845,44.3,57.5,16.2,54.49526814,5.055523086
2484,514.3,41787,410849,21.5,523.3066163,39.6,44.6,25.3,42.98472784,4.863978687
195,475.7,39721,25164,18.5,0,48.9,57.2,21.6,53.97810219,6.390328152
84,324.9,33600,15431,20.9,0,48.3,46,21.8,44.13291796,2.773556231
551,521.2,55592,91636,9.7,556.5498276,41.7,52,15.1,51.77868993,5.649660209
219,447.1,43509,41540,18.5,0,38.9,47.1,19.5,51.59010601,3.748722027
230,396.3,44780,45941,16.6,0,42,54,18.9,54.65468838,6.309693152
153,373.8,39126,36380,18.7,0,32.8,44.3,16.7,46.68361787,5.373953975
228,448.5,41678,31883,14.1,0,48,55.7,17.8,52.9590728,5.169018707
1352,514.9,45840,286085,20.1,443.9240086,31.5,38.8,16.7,38.80436161,4.499226458
275,417.8,48681,64223,15.2,0,37.9,50,19.5,54.4314684,6.91088967
186,406.2,37122,25345,19,0,624,52.2,23.4,48.10896588,4.012841091
72,344.3,35961,11348,17.3,0,53.3,51.2,19.7,44.82566766,4.683342203
260,446.7,42431,70698,28.3,99.01270192,26.3,34.9,14.2,40.69583553,3.814938787
883,473.5,46670,159494,15.4,514.1259232,40.5,48,19.9,48.6970012,5.040777373
1199,464.2,46283,260263,18.9,810.7183887,34,44.3,15.6,44.01690236,4.426449927
103,469.6,40709,17260,17.4,0,44.4,54.4,22.1,50.21572721,4.369071572
2809,473.3,53342,636369,15.3,414.8536462,34.8,49.2,16.4,49.44003503,5.98333118
12,337.6,40411,2168,12.7,0,54.5,55.6,20.6,49.03846154,7.936507937
78,395.3,30990,11424,29.2,0,51.5,46.6,30.8,47.01030928,4.422110553
492,484.6,51510,88373,11.1,135.7880801,43.3,57.1,14,59.89229545,5.407671348
138,372.9,60622,21981,8.9,0,52.4,61.4,13.9,59.85488412,5.887253541
512,425.8,48194,98573,14.5,649.2650117,40.9,50,17.5,50.8534401,4.630064868
855,433.5,74341,187316,6.1,0,42.1,58.9,9.2,61.49898521,4.426612689
33,366,37590,6415,20.6,0,44.3,45.9,26.2,48.67480017,5.95959596
75,422.5,39359,10890,15.4,0,50.9,54.2,19.2,47.97465924,3.381147541
4974,506.5,54865,864840,12.3,154.9419546,40.8,49.5,15,48.70666718,4.707995158
186,494.9,37477,24461,16.6,81.7628061,48.2,51.1,20.4,50.35495957,4.046522898
343,430.4,44735,67215,15.4,74.38815741,39.1,46.4,13.9,47.85878973,3.31536726
144,350.2,42896,28783,16.3,799.0827919,45.7,54.9,21,50.78380144,5.960854093
222,448.5,41572,43067,23,626.9301321,35.7,44.2,18.5,50.00646078,4.303337477
108,310.1,42191,23548,14.5,0,47.5,52.9,20.1,47.10178856,5.558035714
436,438.7,51629,83632,11.9,0,40.9,57.2,13.4,55.87649106,5.762837089
